[ 2025-10-12 11:00:38,110 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-12 11:01:20,578 ] 85 root - INFO - Performed train test split on the dataframe
[ 2025-10-12 11:01:20,578 ] 87 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 11:01:20,578 ] 95 root - INFO - Exporting train and test file path.
[ 2025-10-12 11:01:20,673 ] 104 root - INFO - Exported train and test file path.
[ 2025-10-12 11:01:20,673 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-12 11:02:06,210 ] 85 root - INFO - Performed train test split on the dataframe
[ 2025-10-12 11:02:06,213 ] 87 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 11:02:06,214 ] 95 root - INFO - Exporting train and test file path.
[ 2025-10-12 11:02:06,266 ] 104 root - INFO - Exported train and test file path.
[ 2025-10-12 11:02:06,266 ] 26 root - INFO - Data Initiation Completed
